이름,경기,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA
테임즈,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,.343,.422,.688,1.111,.464,168.3,6.63
나성범,123,536,477,88,157,28,5,30,285,101,14,5,42,15,2,128,4,1,1,.329,.400,.597,.998,.429,146.2,6.63
박민우,118,491,416,87,124,21,9,1,166,40,50,10,56,11,0,89,5,4,4,.298,.392,.399,.791,.367,106.9,6.63
손시헌,97,361,307,39,90,20,1,5,127,39,2,1,34,7,0,53,10,5,8,.293,.368,.414,.782,.352,96.1,6.63
이종욱,124,495,438,73,126,28,4,6,180,78,15,4,40,3,0,60,5,1,13,.288,.342,.411,.753,.339,87.8,6.63
이호준,122,500,424,59,115,20,0,23,204,78,3,5,67,3,0,104,15,1,5,.271,.371,.481,.852,.377,111.6,6.63
지석훈,114,238,212,26,58,14,4,6,98,34,1,1,16,6,0,46,8,3,1,.274,.340,.462,.803,.352,96.1,6.63
모창민,122,468,419,62,110,15,0,16,173,72,14,3,37,0,0,82,13,8,4,.263,.320,.413,.733,.322,76.4,6.63
권희동,101,252,221,39,63,10,2,7,98,36,6,1,25,3,2,43,4,1,2,.285,.363,.443,.806,.359,100.8,6.63
조영훈,92,124,111,15,29,4,0,6,51,22,1,1,10,1,0,26,1,1,1,.261,.325,.459,.785,.342,88.9,6.63
김준완,6,5,4,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,.500,.600,.500,1.100,.525,211.2,6.63
김종호,113,347,317,58,83,11,4,2,108,25,22,7,19,6,0,55,4,5,0,.262,.316,.341,.657,.302,64.0,6.63
마낙길,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.500,.000,.500,.372,111.0,6.63
최재원,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.500,.000,.500,.372,,6.63
박명환,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,6.63
이창섭,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
이혜천,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
김진성,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
임창민,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
최금강,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
홍성용,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
손민한,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
손정욱,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
고창성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
이태양,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.63
김태우,5,5,5,0,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,.200,.200,.400,.600,.253,28.5,6.63
김태군,109,322,294,28,77,13,0,0,90,23,0,1,12,4,0,47,9,9,3,.262,.297,.306,.603,.275,46.1,6.63
허준,28,36,29,2,5,3,0,0,8,1,0,0,5,0,0,10,0,2,0,.172,.294,.276,.570,.261,35.8,6.63
김성욱,26,26,23,6,4,1,0,1,8,1,1,0,3,0,0,9,0,0,0,.174,.269,.348,.617,.279,47.5,6.63
조평호,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-134.8,6.63
테임즈,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,.381,.498,.790,1.288,.530,222.3,7.02
나성범,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,.326,.373,.553,.926,.400,136.1,7.02
박민우,141,617,520,111,158,31,6,3,210,47,46,16,73,14,0,108,4,3,7,.304,.399,.404,.803,.371,116.8,7.02
이종욱,125,504,440,63,118,25,2,5,162,52,17,4,54,3,5,78,5,4,3,.268,.350,.368,.718,.327,86.5,7.02
이호준,131,518,449,48,132,25,0,24,229,110,0,2,61,3,7,102,16,3,2,.294,.381,.510,.891,.386,125.7,7.02
김종호,133,486,424,90,125,16,7,4,167,36,41,10,44,4,0,65,11,10,3,.295,.364,.394,.758,.342,97.8,7.02
손시헌,140,508,440,56,108,24,2,13,175,58,3,2,36,14,0,66,16,13,5,.245,.319,.398,.717,.315,78.6,7.02
지석훈,137,466,415,53,111,15,0,11,159,46,4,1,23,16,0,85,9,9,3,.267,.328,.383,.711,.319,81.0,7.02
조영훈,103,146,124,20,35,8,0,8,67,35,3,0,19,0,0,36,1,1,2,.282,.372,.540,.913,.392,129.5,7.02
모창민,103,239,214,23,62,14,0,6,94,35,5,0,18,0,0,52,5,4,3,.290,.340,.439,.780,.342,96.3,7.02
최재원,114,102,85,31,21,8,0,2,35,13,14,5,10,6,0,29,1,1,0,.247,.366,.412,.778,.355,104.1,7.02
김태군,144,474,421,45,107,24,0,6,149,52,1,1,25,10,0,77,12,11,7,.254,.307,.354,.661,.295,64.8,7.02
용덕한,50,49,42,4,12,1,0,0,13,5,2,1,5,1,0,8,2,1,0,.286,.375,.310,.685,.326,85.8,7.02
박정준,19,24,21,2,8,2,0,0,10,2,0,0,0,3,0,5,0,0,0,.381,.458,.476,.935,.435,158.0,7.02
김성욱,125,204,182,32,47,8,1,3,66,26,3,3,17,4,0,52,4,0,1,.258,.333,.363,.696,.322,83.7,7.02
조평호,22,22,22,4,8,2,0,1,13,3,0,0,0,0,0,6,1,0,0,.364,.364,.591,.955,.416,145.4,7.02
김준완,30,54,44,12,10,0,0,0,10,2,2,1,10,0,0,10,1,0,0,.227,.370,.227,.598,.309,74.2,7.02
임정호,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
임창민,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
노성호,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
최금강,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
민태호,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
손민한,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
이민호,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
강장산,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
고창성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
이태양,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
이혜천,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7.02
이창섭,16,8,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,.000,.375,.000,.375,.275,49.8,7.02
강구성,4,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,.600,.254,35.3,7.02
테임즈,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,.321,.427,.679,1.106,.463,170.5,5.57
박석민,126,506,427,77,131,20,0,32,247,104,2,0,56,16,2,95,18,2,4,.307,.404,.578,.982,.424,144.1,5.57
나성범,144,653,572,116,177,37,2,22,284,113,7,4,67,9,2,136,4,1,4,.309,.388,.497,.885,.395,125.9,5.57
박민우,121,515,435,84,149,16,6,3,186,55,20,6,55,8,1,70,9,10,7,.343,.420,.428,.847,.387,122.1,5.57
손시헌,110,403,341,36,104,21,2,5,144,39,1,0,38,13,0,48,13,10,1,.305,.394,.422,.817,.371,110.3,5.57
이종욱,134,517,453,73,138,24,4,5,185,57,15,3,54,1,0,73,11,4,5,.305,.376,.408,.785,.361,104.1,5.57
이호준,119,472,399,46,119,20,0,21,202,87,3,2,65,2,6,78,11,2,4,.298,.396,.506,.902,.396,125.7,5.57
김성욱,130,348,306,60,81,15,1,15,143,51,5,2,30,3,0,64,15,7,2,.265,.334,.467,.802,.348,94.9,5.57
김준완,122,325,253,60,66,7,1,1,78,12,2,5,66,2,0,62,4,2,1,.261,.416,.308,.724,.360,102.6,5.57
조영훈,109,207,179,29,60,14,0,5,89,35,3,3,21,3,1,43,2,1,3,.335,.408,.497,.905,.404,131.7,5.57
모창민,63,147,133,16,44,8,0,5,67,20,3,2,9,1,0,24,7,1,3,.331,.370,.504,.874,.384,118.4,5.57
김종호,93,137,122,26,36,2,0,0,38,7,13,6,14,0,0,30,3,1,0,.295,.368,.311,.679,.329,82.9,5.57
박광열,13,15,15,0,6,0,0,0,6,0,0,0,0,0,0,3,1,0,0,.400,.400,.400,.800,.378,115.9,5.57
이상호,15,27,25,1,7,2,0,0,9,1,3,0,0,2,0,4,3,0,0,.280,.333,.360,.693,.326,80.8,5.57
권희동,14,47,41,4,11,0,0,1,14,9,0,1,5,1,0,9,0,0,0,.268,.362,.341,.703,.337,87.9,5.57
김태진,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,.472,177.0,5.57
박세웅,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,5.57
민성기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5.57
