이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
해커,31,1,0,31,19,5,0,0,204.0,81,71,833,174,34,0,14,36,1,25,164,0,6,3.13,3.78,1.03,152.9,129.0,5.64
스튜어트,19,0,0,19,8,2,0,0,117.2,37,35,488,116,16,1,7,26,0,6,109,1,4,2.68,3.35,1.21,179.0,145.5,4.32
이태양,29,0,0,25,10,5,0,0,137.1,59,56,591,141,27,2,19,40,1,19,113,1,0,3.67,5.04,1.32,130.5,96.9,3.11
이재학,29,0,0,23,10,8,0,1,125.0,58,57,545,115,15,1,17,58,1,9,116,0,5,4.10,5.11,1.38,116.7,95.4,2.36
최금강,78,0,0,0,6,5,1,14,89.2,40,37,384,77,12,1,11,37,2,11,61,0,12,3.71,5.39,1.27,129.0,90.6,1.81
임창민,61,0,0,0,1,5,31,0,64.0,28,27,266,57,5,2,7,21,2,1,72,0,3,3.80,3.73,1.22,126.2,130.7,1.64
임정호,80,0,0,0,1,2,0,14,48.0,21,20,200,31,3,0,2,27,1,5,54,0,3,3.75,3.85,1.21,127.8,127.0,0.99
김진성,59,0,0,0,3,4,5,12,66.0,35,33,271,59,9,1,14,18,0,1,70,0,2,4.50,5.12,1.17,106.5,95.2,0.87
손민한,26,0,0,19,11,6,0,0,105.0,65,57,444,122,22,1,8,15,0,5,50,0,3,4.89,4.23,1.31,98.1,115.6,0.71
이민호,64,0,0,6,6,5,0,10,96.0,62,54,436,103,23,5,15,41,3,6,103,1,8,5.06,4.88,1.50,94.6,99.9,0.57
박명환,11,0,0,4,1,1,0,0,26.0,14,14,118,36,5,0,6,5,0,3,15,0,2,4.85,6.39,1.58,98.9,76.4,0.42
박진우,11,0,0,0,1,1,0,0,14.1,5,5,62,19,4,0,1,2,0,1,8,0,0,3.14,4.03,1.47,152.6,121.0,0.33
